Run Title,Alternative,NPV,IRR
T2Run112 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run113 Project Analysis,Upgrade,58543764.0,139.9499969482422
T2Run113 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run114 Project Analysis,Upgrade,56728504.0,136.49000549316406
T2Run114 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run115 Project Analysis,Upgrade,59695040.0,142.1999969482422
T2Run115 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run116 Project Analysis,Upgrade,58216632.0,142.22999572753906
T2Run116 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run117 Project Analysis,Upgrade,59344720.0,144.8800048828125
T2Run117 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run118 Project Analysis,Upgrade,65646948.0,157.8699951171875
T2Run118 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run119 Project Analysis,Upgrade,72725968.0,175.9499969482422
T2Run119 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run120 Project Analysis,Upgrade,305374400.0,740.7899780273438
T2Run120 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run121 Project Analysis,Upgrade,296224128.0,719.1400146484375
T2Run121 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run122 Project Analysis,Upgrade,311117408.0,754.3800048828125
T2Run122 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run123 Project Analysis,Upgrade,301923904.0,734.5499877929688
T2Run123 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run124 Project Analysis,Upgrade,307051904.0,746.75
T2Run124 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run125 Project Analysis,Upgrade,338208512.0,820.97998046875
T2Run125 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run126 Project Analysis,Upgrade,368786080.0,893.9500122070312
T2Run126 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run128 Project Analysis,Upgrade,18918662.0,52.66999816894531
T2Run128 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
