Run Title,Alternative,NPV,IRR,AVE_IRI,
T5Run116 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.619999886,232
T5Run117 Project Analysis,Reconstruction,113933936,38.72000122,2.380000114,233
T5Run117 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.619999886,234
T5Run118 Project Analysis,Reconstruction,105003568,37.86999893,2.380000114,235
T5Run118 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.619999886,236
T5Run119 Project Analysis,Reconstruction,86609288,35.56999969,2.380000114,237
T5Run119 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.619999886,238
T5Run120 Project Analysis,Reconstruction,270079584,46.88000107,2.480000019,239
T5Run120 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.179999828,240
T5Run121 Project Analysis,Reconstruction,273644384,47.36000061,2.480000019,241
T5Run121 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.179999828,242
T5Run122 Project Analysis,Reconstruction,271630400,47.13000107,2.480000019,243
T5Run122 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.179999828,244
T5Run123 Project Analysis,Reconstruction,272488672,47.68000031,2.480000019,245
T5Run123 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.179999828,246
T5Run124 Project Analysis,Reconstruction,254749440,46.79000092,2.480000019,247
T5Run124 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.179999828,248
T5Run125 Project Analysis,Reconstruction,237128464,46.04000092,2.480000019,249
T5Run125 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.179999828,250
T5Run126 Project Analysis,Reconstruction,198401936,43.81999969,2.480000019,251
T5Run126 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.179999828,252
T5Run127 Project Analysis,Reconstruction,6560543,15.73999977,2.359999895,253
T5Run127 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.820000172,254
T5Run128 Project Analysis,Reconstruction,7208197,16.06999969,2.359999895,255
T5Run128 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.820000172,256
T5Run129 Project Analysis,Reconstruction,6835710,15.89000034,2.359999895,257
T5Run129 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.820000172,258
T5Run130 Project Analysis,Reconstruction,7521876,16.27000046,2.359999895,259
T5Run130 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.820000172,260
T5Run131 Project Analysis,Reconstruction,6238305.5,15.64000034,2.359999895,261
T5Run131 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.820000172,262
T5Run132 Project Analysis,Reconstruction,4706476.5,14.85999966,2.359999895,263
T5Run132 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.820000172,264
T5Run133 Project Analysis,Reconstruction,1430708.13,12.94999981,2.359999895,265
T5Run133 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.820000172,266
T5Run134 Project Analysis,Reconstruction,122915368,40.68000031,2.390000105,267
T5Run134 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.690000057,268
T5Run135 Project Analysis,Reconstruction,125355968,41.27999878,2.390000105,269
T5Run135 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.690000057,270
T5Run136 Project Analysis,Reconstruction,123945776,40.97000122,2.390000105,271
T5Run136 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.690000057,272
T5Run137 Project Analysis,Reconstruction,125721256,41.70000076,2.390000105,273
T5Run137 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.690000057,274
T5Run138 Project Analysis,Reconstruction,117577656,40.72999954,2.390000105,275
T5Run138 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.690000057,276
T5Run139 Project Analysis,Reconstruction,108586320,39.88999939,2.390000105,277
T5Run139 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.690000057,278
T5Run140 Project Analysis,Reconstruction,89752288,37.36000061,2.390000105,279
T5Run140 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.690000057,280
T5Run141 Project Analysis,Reconstruction,358775968,67.87999725,2.5,281
T5Run141 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.900000095,282
T5Run142 Project Analysis,Reconstruction,363655552,69.22000122,2.5,283
T5Run142 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.900000095,284
T5Run143 Project Analysis,Reconstruction,361197248,68.63999939,2.5,285
T5Run143 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.900000095,286
T5Run144 Project Analysis,Reconstruction,363024800,70.30999756,2.5,287
T5Run144 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.900000095,288
T5Run145 Project Analysis,Reconstruction,339366080,68.20999908,2.5,289
T5Run145 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.900000095,290
T5Run146 Project Analysis,Reconstruction,317470496,67.48000336,2.5,291
T5Run146 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.900000095,292
T5Run147 Project Analysis,Reconstruction,267191856,63.11999893,2.5,293
T5Run147 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.900000095,294
T5Run148 Project Analysis,Reconstruction,66432872,44.36000061,2.930000067,295
T5Run148 Project Analysis,Minimum Maintenance (B),0,-9999.990234,10.13000011,296
T5Run149 Project Analysis,Reconstruction,67418928,45.41999817,2.930000067,297
T5Run149 Project Analysis,Minimum Maintenance (B),0,-9999.990234,10.13000011,298
T5Run150 Project Analysis,Reconstruction,66765024,44.81999969,2.930000067,299
T5Run150 Project Analysis,Minimum Maintenance (B),0,-9999.990234,10.13000011,300
T5Run151 Project Analysis,Reconstruction,66887892,46.20999908,2.930000067,301
T5Run151 Project Analysis,Minimum Maintenance (B),0,-9999.990234,10.13000011,302
T5Run152 Project Analysis,Reconstruction,61609312,44.79999924,2.930000067,303
