Run Title,Alternative,NPV,IRR,AVE_IRI
T3Run286 Project Analysis,Upgrade,85815160,189.6799927,5.800000191
T3Run287 Project Analysis,Upgrade,94140688,208.1799927,5.889999866
T3Run288 Project Analysis,Upgrade,378404320,824.6300049,6.550000191
T3Run289 Project Analysis,Upgrade,367063360,800.6199951,6.360000134
T3Run290 Project Analysis,Upgrade,385514976,839.7000122,6.650000095
T3Run291 Project Analysis,Upgrade,373900352,815.1599731,6.440000057
T3Run292 Project Analysis,Upgrade,380205920,828.6199951,6.429999828
T3Run293 Project Analysis,Upgrade,418756704,-9999.990234,7.039999962
T3Run294 Project Analysis,Upgrade,456257472,-9999.990234,7.179999828
T3Run295 Project Analysis,Upgrade,27201420,69.75,5.300000191
T3Run296 Project Analysis,Upgrade,26405022,68.31999969,5.210000038
T3Run297 Project Analysis,Upgrade,27722646,70.69000244,5.340000153
T3Run298 Project Analysis,Upgrade,26952900,69.38999939,5.239999771
T3Run299 Project Analysis,Upgrade,27561786,70.69000244,5.230000019
T3Run300 Project Analysis,Upgrade,30288248,75.48999786,5.519999981
T3Run301 Project Analysis,Upgrade,34515604,84.72000122,5.579999924
T3Run302 Project Analysis,Upgrade,72686488,165.1499939,5.71999979
T3Run303 Project Analysis,Upgrade,70670424,161.3099976,5.590000153
T3Run304 Project Analysis,Upgrade,73992368,167.6799927,5.78000021
T3Run305 Project Analysis,Upgrade,72000816,163.9799957,5.639999866
T3Run306 Project Analysis,Upgrade,73404936,166.9799957,5.630000114
T3Run307 Project Analysis,Upgrade,80319624,180.1999969,6.019999981
T3Run308 Project Analysis,Upgrade,89964928,201.25,6.110000134
T3Run309 Project Analysis,Upgrade,356245920,777.9099731,6.639999866
T3Run310 Project Analysis,Upgrade,346690816,757.6699829,6.449999809
T3Run311 Project Analysis,Upgrade,362398784,790.9500122,6.75
T3Run312 Project Analysis,Upgrade,352899200,770.8599854,6.519999981
T3Run313 Project Analysis,Upgrade,359315328,784.5499878,6.510000229
T3Run314 Project Analysis,Upgrade,392021792,853.8200073,7.130000114
T3Run315 Project Analysis,Upgrade,436043520,-9999.990234,7.260000229
T3Run316 Project Analysis,Upgrade,34265816,70.51000214,3.869999886
T3Run317 Project Analysis,Upgrade,33156926,68.76000214,3.809999943
T3Run318 Project Analysis,Upgrade,35052088,72.01999664,3.900000095
T3Run319 Project Analysis,Upgrade,33977184,70.47000122,3.829999924
T3Run320 Project Analysis,Upgrade,34870492,72.73000336,3.829999924
T3Run321 Project Analysis,Upgrade,38993896,80.43000031,4
T3Run322 Project Analysis,Upgrade,43876420,90.51000214,4.039999962
T3Run323 Project Analysis,Upgrade,93479664,175.7299957,4.340000153
T3Run324 Project Analysis,Upgrade,90640872,171.4400024,4.260000229
T3Run325 Project Analysis,Upgrade,95277824,178.5399933,4.389999866
T3Run326 Project Analysis,Upgrade,92850688,178.9700012,4.289999962
T3Run327 Project Analysis,Upgrade,94560680,182.1999969,4.289999962
T3Run328 Project Analysis,Upgrade,104384872,198.3800049,4.539999962
T3Run329 Project Analysis,Upgrade,114976408,220.3999939,4.599999905
T3Run330 Project Analysis,Upgrade,463057856,-9999.990234,5.909999847
T3Run331 Project Analysis,Upgrade,449146976,878.4699707,5.760000229
T3Run332 Project Analysis,Upgrade,471788096,-9999.990234,5.989999771
T3Run333 Project Analysis,Upgrade,457738112,897.1199951,5.820000172
T3Run334 Project Analysis,Upgrade,465528864,-9999.990234,5.809999943
T3Run335 Project Analysis,Upgrade,512865824,-9999.990234,6.309999943
T3Run336 Project Analysis,Upgrade,559304320,-9999.990234,6.409999847
T3Run337 Project Analysis,Upgrade,34265816,70.51000214,3.869999886
T3Run338 Project Analysis,Upgrade,33156926,68.76000214,3.809999943
T3Run339 Project Analysis,Upgrade,35052088,72.01999664,3.900000095
T3Run340 Project Analysis,Upgrade,33977184,70.47000122,3.829999924
T3Run341 Project Analysis,Upgrade,34870492,72.73000336,3.829999924
T3Run342 Project Analysis,Upgrade,38993896,80.43000031,4
T3Run343 Project Analysis,Upgrade,43876420,90.51000214,4.039999962
T3Run344 Project Analysis,Upgrade,93479664,175.7299957,4.340000153
T3Run345 Project Analysis,Upgrade,90640872,171.4400024,4.260000229
T3Run346 Project Analysis,Upgrade,95277824,178.5399933,4.389999866
T3Run347 Project Analysis,Upgrade,92850688,178.9700012,4.289999962
T3Run348 Project Analysis,Upgrade,94560680,182.1999969,4.289999962
T3Run349 Project Analysis,Upgrade,104384872,198.3800049,4.539999962
T3Run350 Project Analysis,Upgrade,114976408,220.3999939,4.599999905
T3Run351 Project Analysis,Upgrade,463057856,-9999.990234,5.909999847
T3Run352 Project Analysis,Upgrade,449146976,878.4699707,5.760000229
T3Run353 Project Analysis,Upgrade,471788096,-9999.990234,5.989999771
T3Run354 Project Analysis,Upgrade,457738112,897.1199951,5.820000172
T3Run355 Project Analysis,Upgrade,465528864,-9999.990234,5.809999943
T3Run356 Project Analysis,Upgrade,512865824,-9999.990234,6.309999943
T3Run357 Project Analysis,Upgrade,559304320,-9999.990234,6.409999847
T3Run358 Project Analysis,Upgrade,36202884,79.61000061,4.769999981
T3Run359 Project Analysis,Upgrade,35033996,77.72000122,4.679999828
T3Run360 Project Analysis,Upgrade,36946820,80.83000183,4.820000172
T3Run361 Project Analysis,Upgrade,35775720,78.98999786,4.710000038
T3Run362 Project Analysis,Upgrade,36533272,80.45999908,4.710000038
T3Run363 Project Analysis,Upgrade,40501516,86.80000305,5
T3Run364 Project Analysis,Upgrade,45159936,96.15000153,5.059999943
