Run,TG,Co,Tv,GE,,NPV,IRR,AVE_IRI,NPV DELTA,IRR DELTA,AVE_IRI DELTA,NPV DELTA,IRR DELTA,AVE_IRI DELTA,NPV DELTA,IRR DELTA,AVE_IRI DELTA,NPV DELTA,IRR DELTA,AVE_IRI DELTA
115,2,0,1,2,,80006928,35.45000076,2.369999886,1694376,0.39999771,0,"81,855,207",25,0.04,505236592,395,1.71,"20,957,140",3, -   
116,2,0,1,3,,83735664,36.47999954,2.369999886,3728736,1.02999878,0,"84,572,964",25,0.04,484361808,390,1.71,"21,233,416",3, -   
117,2,0,1,4,,79023872,35.49000168,2.380000114,4711792,0.98999786,0.010000228,"80,686,731",25,0.05,439954304,365,1.7,"19,995,224",3,0
118,2,0,1,5,,73634256,34.97000122,2.380000114,5389616,0.52000046,0,"75,889,950",25,0.05,409990544,333,1.7,"18,710,280",3,0
119,2,0,1,6,,61052064,32.47000122,2.380000114,12582192,2.5,0,"65,403,017",24,0.05,332282304,274,1.71,"15,946,436",3,0
120,2,0,2,0,,334719808,65.41000366,2.49000001,,,,"256,007,392",30,0.12,1282907712,10065,1.84,"73,967,344",4,0
121,2,0,2,1,,343250240,67.55999756,2.49000001,8530432,2.1499939,0,"261,548,936",32,0.12,1263776832,10068,1.84,"74,457,792",4,0
122,2,0,2,2,,338756512,66.43000031,2.49000001,4493728,1.12999725,0,"258,749,584",31,0.12,1274969440,10066,1.84,"74,275,968",4,0
123,2,0,2,3,,349171808,69.87999725,2.49000001,10415296,3.44999694,0,"265,436,144",33,0.12,1212463008,10070,1.84,"73,945,504",4,0
124,2,0,2,4,,332415168,68.61000061,2.49000001,16756640,1.26999664,0,"253,391,296",33,0.11,1091519680,10069,1.84,"69,260,000",4,0
125,2,0,2,5,,313335904,68.58999634,2.49000001,19079264,0.02000427,0,"239,701,648",34,0.11,1019541664,10069,1.84,"64,772,832",4,0
126,2,0,2,6,,269283200,64.80000305,2.5,44052704,3.78999329,0.00999999,"208,231,136",32,0.12,819645184,10065,1.83,"55,016,352",4,0
127,2,1,0,0,,-1881338,10.51000023,2.329999924,,,,"336,601,146",55,0.16,328369.5,0,0,"2,527,310",2, -   
128,2,1,0,1,,-1138116.5,11.10999966,2.329999924,743221.5,0.59999943,0,"344,388,357",56,0.16,332648.13,0,0,"2,631,412",2, -   
129,2,1,0,2,,-1521047,10.80000019,2.329999924,382930.5,0.30999947,0,"340,277,559",56,0.16,327232.38,0,0,"2,573,669",2, -   
130,2,1,0,3,,-510412.94,11.63000011,2.329999924,1010634.06,0.82999992,0,"349,682,221",58,0.16,326887.37,0,0,"2,712,233",2, -   
131,2,1,0,4,,-1349674.25,10.93999958,2.329999924,839261.31,0.69000053,0,"333,764,842",58,0.16,313185,0,0,"2,602,579",2, -   
132,2,1,0,5,,-1982487.88,10.40999985,2.329999924,632813.63,0.52999973,0,"315,318,392",58,0.16,273206.37,0,0,"2,457,769",2, -   
133,2,1,0,6,,-4122130.5,8.449999809,2.329999924,2139642.62,1.960000041,0,"273,405,331",56,0.17,228822.5,0,0,"2,139,067",98, -   
134,2,1,1,0,,86522368,36.83000183,2.369999886,,,,"88,403,706",26,0.04,7809952,2,0,"23,037,892",3, -   
135,2,1,1,1,,89549272,37.61999893,2.369999886,3026904,0.7899971,0,"90,687,389",27,0.04,7847968,2,0,"23,370,524",3, -   
136,2,1,1,2,,87834336,37.20000076,2.369999886,1714936,0.41999817,0,"89,355,383",26,0.04,7827408,2,0,"23,166,280",3, -   
137,2,1,1,3,,91467216,38.25,2.369999886,3632880,1.04999924,0,"91,977,629",27,0.04,7731552,2,0,"23,394,968",3, -   
138,2,1,1,4,,86112464,37.18000031,2.380000114,5354752,1.06999969,0.010000228,"87,462,138",26,0.05,7088592,2,0,"21,920,680",3,0
139,2,1,1,5,,80276064,36.65999985,2.380000114,5836400,0.52000046,0,"82,258,552",26,0.05,6641808,2,0,"20,535,056",3,0
140,2,1,1,6,,66540980,33.97000122,2.380000114,13735084,2.68999863,0,"70,663,111",26,0.05,5488916,2,0,"17,458,440",3,0
141,2,1,2,0,,367135040,72.59999847,2.49000001,,,,"280,612,672",36,0.12,32415232,7,0,"80,035,968",5,0
142,2,1,2,1,,375752704,75,2.49000001,8617664,2.40000153,0,"286,203,432",37,0.12,32502464,7,0,"80,619,776",5,0
143,2,1,2,2,,371182688,73.76000214,2.49000001,4570016,1.23999786,0,"283,348,352",37,0.12,32426176,7,0,"80,358,976",5,0
144,2,1,2,3,,381005760,77.54000092,2.49000001,9823072,3.77999878,0,"289,538,544",39,0.12,31833952,8,0,"80,340,480",5,0
145,2,1,2,4,,361215680,75.73000336,2.49000001,19790080,1.80999756,0,"275,103,216",39,0.11,28800512,7,0,"75,062,752",5,0
146,2,1,2,5,,340191744,75.68000031,2.49000001,21023936,0.05000305,0,"259,915,680",39,0.11,26855840,7,0,"70,327,040",5,0
147,2,1,2,6,,291047488,70.86000061,2.5,49144256,4.8199997,0.00999999,"224,506,508",37,0.12,21764288,6,0,"59,606,016",5,0
148,2,2,0,0,,40856456,34.61000061,2.880000114,,,,"326,278,584",38,0.39,42737794,24,0.55,"7,786,724",3, -   
149,2,2,0,1,,42185176,35.63000107,2.880000114,1328720,1.02000046,0,"333,567,528",39,0.39,43323292.5,25,0.55,"7,883,800",3, -   
150,2,2,0,2,,41395372,35.11000061,2.880000114,789804,0.52000046,0,"329,787,316",39,0.39,42916419,24,0.55,"7,818,380",3, -   
151,2,2,0,3,,42700544,36.54000092,2.880000114,1305172,1.43000031,0,"338,305,216",41,0.39,43210956.94,25,0.55,"7,859,448",3, -   
152,2,2,0,4,,39550100,35.38999939,2.880000114,3150444,1.15000153,0,"321,665,580",40,0.39,40899774.25,24,0.55,"7,385,384",3, -   
153,2,2,0,5,,35555440,33.93000031,2.880000114,3994660,1.45999908,0,"304,636,304",42,0.39,37537927.88,24,0.55,"6,838,450",3, -   
154,2,2,0,6,,27637430,30.35000038,2.880000114,7918010,3.57999993,0,"263,410,058",41,0.38,31759560.5,22,0.55,"5,764,666",3, -   
155,2,2,1,0,,298012608,117.5299988,2.950000048,,,,"257,156,152",83,0.07,211490240,81,0.58,"45,325,456",7, -   
156,2,2,1,1,,302252224,122.7099991,2.950000048,4239616,5.1800003,0,"260,067,048",87,0.07,212702952,85,0.58,"45,473,472",7, -   
157,2,2,1,2,,299577664,120.3799973,2.950000048,2674560,2.3300018,0,"258,182,292",85,0.07,211743328,83,0.58,"45,339,920",7, -   
158,2,2,1,3,,301254368,128.2599945,2.950000048,1676704,7.8799972,0,"258,553,824",92,0.07,209787152,90,0.58,"44,790,528",8, -   
159,2,2,1,4,,281797376,124.0899963,2.950000048,19456992,4.1699982,0,"242,247,276",89,0.07,195684912,87,0.57,"41,485,232",7, -   
160,2,2,1,5,,260644400,120.0999985,2.950000048,21152976,3.9899978,0,"225,088,960",86,0.07,180368336,83,0.57,"38,530,608",7, -   
161,2,2,1,6,,216971072,107.5899963,2.950000048,43673328,12.5100022,0,"189,333,642",77,0.07,150430092,74,0.57,"32,092,816",6, -   
162,2,2,2,0,,1126790784,318.5,3.089999914,,,,"828,778,176",201,0.14,759655744,246,0.6,"156,989,632",19,0
163,2,2,2,1,,1130811520,333.5899963,3.089999914,4020736,15.0899963,0,"828,559,296",211,0.14,755058816,259,0.6,"156,268,096",20,0
164,2,2,2,2,,1127917696,326.269989,3.089999914,2893824,7.3200073,0,"828,340,032",206,0.14,756735008,253,0.6,"156,664,832",19,0
165,2,2,2,3,,1112762240,349.1600037,3.089999914,15155456,22.8900147,0,"811,507,872",221,0.14,731756480,272,0.6,"152,582,144",20,0
166,2,2,2,4,,1031216192,338.3699951,3.089999914,81546048,10.7900086,0,"749,418,816",214,0.14,670000512,263,0.6,"139,856,064",20,0
167,2,2,2,5,,958498624,325.1000061,3.089999914,72717568,13.269989,0,"697,854,224",205,0.14,618306880,249,0.6,"130,406,592",19,0
168,2,2,2,6,,795916736,290.1300049,3.089999914,162581888,34.9700012,0,"578,945,664",183,0.14,504869248,219,0.59,"107,670,400",17,0
169,2,3,0,0,,98558224,67.30000305,3.430000067,,,,"1,028,232,560",251,0.34,57701768,33,0.55,"13,705,088",4, -   
170,2,3,0,1,,99012528,68.58000183,3.430000067,454304,1.27999878,0,"1,031,798,992",265,0.34,56827352,33,0.55,"13,697,176",4, -   
